,prod_est,coverage,type,year,month,concept,value_usd,status
567,Trade Balance of Goods of Mexico,National,Imports,2014,8,Freight and insurance of imports,992.689,Final Figures
568,Trade Balance of Goods of Mexico,National,Imports,2014,8,Total Imports CIF (Total Imports + Freight and Insurance of Imports),35476.324,Final Figures
569,Trade Balance of Goods of Mexico,National,Imports,2014,8,Petroleum,3488.363,Final Figures
570,Trade Balance of Goods of Mexico,National,Imports,2014,8,Non Petroleum,30995.272,Final Figures
571,Trade Balance of Goods of Mexico,National,Imports,2014,8,Consumer Goods,5009.19,Final Figures
572,Trade Balance of Goods of Mexico,National,Imports,2014,8,Intermediate Goods,26247.732,Final Figures
573,Trade Balance of Goods of Mexico,National,Imports,2014,8,Capital Goods,3226.714,Final Figures
574,Trade Balance of Goods of Mexico,National,Not applicable,2014,8,Total Trade Balance Exports Total - Imports Total,-1196.813,Final Figures
575,Trade Balance of Goods of Mexico,National,Not applicable,2014,8,Total Trade Balance Exports Total - Imports Total CIF,-2189.502,Final Figures
576,Trade Balance of Goods of Mexico,National,Exports,2014,9,Total Exports,34147.311,Final Figures
577,Trade Balance of Goods of Mexico,National,Exports,2014,9,Petroleum,3617.818,Final Figures
578,Trade Balance of Goods of Mexico,National,Exports,2014,9,Crude Oil,2980.711,Final Figures
579,Trade Balance of Goods of Mexico,National,Exports,2014,9,Other Oil,637.107,Final Figures
580,Trade Balance of Goods of Mexico,National,Exports,2014,9,Non Petroleum,30529.493,Final Figures
581,Trade Balance of Goods of Mexico,National,Exports,2014,9,Agrarian,747.748,Final Figures
582,Trade Balance of Goods of Mexico,National,Exports,2014,9,Extractive,455.512,Final Figures
583,Trade Balance of Goods of Mexico,National,Exports,2014,9,Manufacturing,29326.232,Final Figures
584,Trade Balance of Goods of Mexico,National,Imports,2014,9,Total Imports,33667.444,Final Figures
585,Trade Balance of Goods of Mexico,National,Imports,2014,9,Freight and insurance of imports,999.867,Final Figures
586,Trade Balance of Goods of Mexico,National,Imports,2014,9,Total Imports CIF (Total Imports + Freight and Insurance of Imports),34667.311,Final Figures
587,Trade Balance of Goods of Mexico,National,Imports,2014,9,Petroleum,3599.557,Final Figures
588,Trade Balance of Goods of Mexico,National,Imports,2014,9,Non Petroleum,30067.887,Final Figures
589,Trade Balance of Goods of Mexico,National,Imports,2014,9,Consumer Goods,4941.38,Final Figures
590,Trade Balance of Goods of Mexico,National,Imports,2014,9,Intermediate Goods,25505.564,Final Figures
591,Trade Balance of Goods of Mexico,National,Imports,2014,9,Capital Goods,3220.5,Final Figures
592,Trade Balance of Goods of Mexico,National,Not applicable,2014,9,Total Trade Balance Exports Total - Imports Total,479.867,Final Figures
593,Trade Balance of Goods of Mexico,National,Not applicable,2014,9,Total Trade Balance Exports Total - Imports Total CIF,-520.0,Final Figures
594,Trade Balance of Goods of Mexico,National,Exports,2014,10,Total Exports,36879.601,Final Figures
595,Trade Balance of Goods of Mexico,National,Exports,2014,10,Petroleum,3264.062,Final Figures
596,Trade Balance of Goods of Mexico,National,Exports,2014,10,Crude Oil,2652.548,Final Figures
597,Trade Balance of Goods of Mexico,National,Exports,2014,10,Other Oil,611.515,Final Figures
598,Trade Balance of Goods of Mexico,National,Exports,2014,10,Non Petroleum,33615.539,Final Figures
599,Trade Balance of Goods of Mexico,National,Exports,2014,10,Agrarian,1018.499,Final Figures
600,Trade Balance of Goods of Mexico,National,Exports,2014,10,Extractive,333.13,Final Figures
601,Trade Balance of Goods of Mexico,National,Exports,2014,10,Manufacturing,32263.91,Final Figures
602,Trade Balance of Goods of Mexico,National,Imports,2014,10,Total Imports,36945.105,Final Figures
603,Trade Balance of Goods of Mexico,National,Imports,2014,10,Freight and insurance of imports,1050.452,Final Figures
604,Trade Balance of Goods of Mexico,National,Imports,2014,10,Total Imports CIF (Total Imports + Freight and Insurance of Imports),37995.557,Final Figures
605,Trade Balance of Goods of Mexico,National,Imports,2014,10,Petroleum,3387.315,Final Figures
606,Trade Balance of Goods of Mexico,National,Imports,2014,10,Non Petroleum,33557.79,Final Figures
607,Trade Balance of Goods of Mexico,National,Imports,2014,10,Consumer Goods,5623.631,Final Figures
608,Trade Balance of Goods of Mexico,National,Imports,2014,10,Intermediate Goods,27594.243,Final Figures
609,Trade Balance of Goods of Mexico,National,Imports,2014,10,Capital Goods,3727.232,Final Figures
610,Trade Balance of Goods of Mexico,National,Not applicable,2014,10,Total Trade Balance Exports Total - Imports Total,-65.504,Final Figures
611,Trade Balance of Goods of Mexico,National,Not applicable,2014,10,Total Trade Balance Exports Total - Imports Total CIF,-1115.956,Final Figures
612,Trade Balance of Goods of Mexico,National,Exports,2014,11,Total Exports,32192.734,Final Figures
613,Trade Balance of Goods of Mexico,National,Exports,2014,11,Petroleum,2989.049,Final Figures
614,Trade Balance of Goods of Mexico,National,Exports,2014,11,Crude Oil,2470.447,Final Figures
615,Trade Balance of Goods of Mexico,National,Exports,2014,11,Other Oil,518.602,Final Figures
616,Trade Balance of Goods of Mexico,National,Exports,2014,11,Non Petroleum,29203.685,Final Figures
617,Trade Balance of Goods of Mexico,National,Exports,2014,11,Agrarian,1118.189,Final Figures
618,Trade Balance of Goods of Mexico,National,Exports,2014,11,Extractive,374.384,Final Figures
619,Trade Balance of Goods of Mexico,National,Exports,2014,11,Manufacturing,27711.111,Final Figures
620,Trade Balance of Goods of Mexico,National,Imports,2014,11,Total Imports,33407.006,Final Figures
621,Trade Balance of Goods of Mexico,National,Imports,2014,11,Freight and insurance of imports,940.264,Final Figures
622,Trade Balance of Goods of Mexico,National,Imports,2014,11,Total Imports CIF (Total Imports + Freight and Insurance of Imports),34347.27,Final Figures
623,Trade Balance of Goods of Mexico,National,Imports,2014,11,Petroleum,3625.421,Final Figures
624,Trade Balance of Goods of Mexico,National,Imports,2014,11,Non Petroleum,29781.585,Final Figures
625,Trade Balance of Goods of Mexico,National,Imports,2014,11,Consumer Goods,5315.905,Final Figures
626,Trade Balance of Goods of Mexico,National,Imports,2014,11,Intermediate Goods,24713.957,Final Figures
627,Trade Balance of Goods of Mexico,National,Imports,2014,11,Capital Goods,3377.144,Final Figures
628,Trade Balance of Goods of Mexico,National,Not applicable,2014,11,Total Trade Balance Exports Total - Imports Total,-1214.272,Final Figures
629,Trade Balance of Goods of Mexico,National,Not applicable,2014,11,Total Trade Balance Exports Total - Imports Total CIF,-2154.536,Final Figures
630,Trade Balance of Goods of Mexico,National,Exports,2014,12,Total Exports,34090.91,Final Figures
631,Trade Balance of Goods of Mexico,National,Exports,2014,12,Petroleum,2414.129,Final Figures
632,Trade Balance of Goods of Mexico,National,Exports,2014,12,Crude Oil,1955.225,Final Figures
633,Trade Balance of Goods of Mexico,National,Exports,2014,12,Other Oil,458.904,Final Figures
634,Trade Balance of Goods of Mexico,National,Exports,2014,12,Non Petroleum,31676.782,Final Figures
635,Trade Balance of Goods of Mexico,National,Exports,2014,12,Agrarian,1123.632,Final Figures
636,Trade Balance of Goods of Mexico,National,Exports,2014,12,Extractive,384.436,Final Figures
637,Trade Balance of Goods of Mexico,National,Exports,2014,12,Manufacturing,30168.713,Final Figures
638,Trade Balance of Goods of Mexico,National,Imports,2014,12,Total Imports,33862.45,Final Figures
639,Trade Balance of Goods of Mexico,National,Imports,2014,12,Freight and insurance of imports,976.597,Final Figures
640,Trade Balance of Goods of Mexico,National,Imports,2014,12,Total Imports CIF (Total Imports + Freight and Insurance of Imports),34839.047,Final Figures
641,Trade Balance of Goods of Mexico,National,Imports,2014,12,Petroleum,3438.376,Final Figures
642,Trade Balance of Goods of Mexico,National,Imports,2014,12,Non Petroleum,30424.074,Final Figures
643,Trade Balance of Goods of Mexico,National,Imports,2014,12,Consumer Goods,4927.001,Final Figures
644,Trade Balance of Goods of Mexico,National,Imports,2014,12,Intermediate Goods,25239.883,Final Figures
645,Trade Balance of Goods of Mexico,National,Imports,2014,12,Capital Goods,3695.566,Final Figures
646,Trade Balance of Goods of Mexico,National,Not applicable,2014,12,Total Trade Balance Exports Total - Imports Total,228.46,Final Figures
647,Trade Balance of Goods of Mexico,National,Not applicable,2014,12,Total Trade Balance Exports Total - Imports Total CIF,-748.137,Final Figures
648,Trade Balance of Goods of Mexico,National,Exports,2015,1,Total Exports,26553.377,Final Figures
649,Trade Balance of Goods of Mexico,National,Exports,2015,1,Petroleum,2075.895,Final Figures
650,Trade Balance of Goods of Mexico,National,Exports,2015,1,Crude Oil,1630.21,Final Figures
651,Trade Balance of Goods of Mexico,National,Exports,2015,1,Other Oil,445.685,Final Figures
652,Trade Balance of Goods of Mexico,National,Exports,2015,1,Non Petroleum,24477.482,Final Figures
653,Trade Balance of Goods of Mexico,National,Exports,2015,1,Agrarian,1169.87,Final Figures
654,Trade Balance of Goods of Mexico,National,Exports,2015,1,Extractive,318.121,Final Figures
655,Trade Balance of Goods of Mexico,National,Exports,2015,1,Manufacturing,22989.491,Final Figures
656,Trade Balance of Goods of Mexico,National,Imports,2015,1,Total Imports,29817.479,Final Figures
657,Trade Balance of Goods of Mexico,National,Imports,2015,1,Freight and insurance of imports,790.633,Final Figures
658,Trade Balance of Goods of Mexico,National,Imports,2015,1,Total Imports CIF (Total Imports + Freight and Insurance of Imports),30608.112,Final Figures
659,Trade Balance of Goods of Mexico,National,Imports,2015,1,Petroleum,3034.845,Final Figures
660,Trade Balance of Goods of Mexico,National,Imports,2015,1,Non Petroleum,26782.634,Final Figures
661,Trade Balance of Goods of Mexico,National,Imports,2015,1,Consumer Goods,4432.014,Final Figures
662,Trade Balance of Goods of Mexico,National,Imports,2015,1,Intermediate Goods,22052.745,Final Figures
663,Trade Balance of Goods of Mexico,National,Imports,2015,1,Capital Goods,3332.72,Final Figures
664,Trade Balance of Goods of Mexico,National,Not applicable,2015,1,Total Trade Balance Exports Total - Imports Total,-3264.102,Final Figures
665,Trade Balance of Goods of Mexico,National,Not applicable,2015,1,Total Trade Balance Exports Total - Imports Total CIF,-4054.735,Final Figures
666,Trade Balance of Goods of Mexico,National,Exports,2015,2,Total Exports,29731.307,Final Figures
667,Trade Balance of Goods of Mexico,National,Exports,2015,2,Petroleum,2098.179,Final Figures
668,Trade Balance of Goods of Mexico,National,Exports,2015,2,Crude Oil,1726.709,Final Figures
669,Trade Balance of Goods of Mexico,National,Exports,2015,2,Other Oil,371.47,Final Figures
670,Trade Balance of Goods of Mexico,National,Exports,2015,2,Non Petroleum,27633.128,Final Figures
671,Trade Balance of Goods of Mexico,National,Exports,2015,2,Agrarian,1198.535,Final Figures
672,Trade Balance of Goods of Mexico,National,Exports,2015,2,Extractive,504.039,Final Figures
673,Trade Balance of Goods of Mexico,National,Exports,2015,2,Manufacturing,25930.554,Final Figures
674,Trade Balance of Goods of Mexico,National,Imports,2015,2,Total Imports,29125.93,Final Figures
675,Trade Balance of Goods of Mexico,National,Imports,2015,2,Freight and insurance of imports,750.2816,Final Figures
676,Trade Balance of Goods of Mexico,National,Imports,2015,2,Total Imports CIF (Total Imports + Freight and Insurance of Imports),29876.2116,Final Figures
677,Trade Balance of Goods of Mexico,National,Imports,2015,2,Petroleum,2488.917,Final Figures
678,Trade Balance of Goods of Mexico,National,Imports,2015,2,Non Petroleum,26637.014,Final Figures
679,Trade Balance of Goods of Mexico,National,Imports,2015,2,Consumer Goods,3936.203,Final Figures
680,Trade Balance of Goods of Mexico,National,Imports,2015,2,Intermediate Goods,22433.051,Final Figures
681,Trade Balance of Goods of Mexico,National,Imports,2015,2,Capital Goods,2756.676,Final Figures
682,Trade Balance of Goods of Mexico,National,Not applicable,2015,2,Total Trade Balance Exports Total - Imports Total,605.377,Final Figures
683,Trade Balance of Goods of Mexico,National,Not applicable,2015,2,Total Trade Balance Exports Total - Imports Total CIF,-144.904600000001,Final Figures
684,Trade Balance of Goods of Mexico,National,Exports,2015,3,Total Exports,34177.4729999999,Final Figures
685,Trade Balance of Goods of Mexico,National,Exports,2015,3,Petroleum,2158.94,Final Figures
686,Trade Balance of Goods of Mexico,National,Exports,2015,3,Crude Oil,1803.499,Final Figures
687,Trade Balance of Goods of Mexico,National,Exports,2015,3,Other Oil,355.441,Final Figures
688,Trade Balance of Goods of Mexico,National,Exports,2015,3,Non Petroleum,32018.532,Final Figures
689,Trade Balance of Goods of Mexico,National,Exports,2015,3,Agrarian,1391.54,Final Figures
690,Trade Balance of Goods of Mexico,National,Exports,2015,3,Extractive,382.443,Final Figures
691,Trade Balance of Goods of Mexico,National,Exports,2015,3,Manufacturing,30244.55,Final Figures
692,Trade Balance of Goods of Mexico,National,Imports,2015,3,Total Imports,33666.222,Final Figures
693,Trade Balance of Goods of Mexico,National,Imports,2015,3,Freight and insurance of imports,841.0844,Final Figures
694,Trade Balance of Goods of Mexico,National,Imports,2015,3,Total Imports CIF (Total Imports + Freight and Insurance of Imports),34507.3064,Final Figures
695,Trade Balance of Goods of Mexico,National,Imports,2015,3,Petroleum,2584.06,Final Figures
696,Trade Balance of Goods of Mexico,National,Imports,2015,3,Non Petroleum,31082.162,Final Figures
697,Trade Balance of Goods of Mexico,National,Imports,2015,3,Consumer Goods,4306.212,Final Figures
698,Trade Balance of Goods of Mexico,National,Imports,2015,3,Intermediate Goods,25825.415,Final Figures
699,Trade Balance of Goods of Mexico,National,Imports,2015,3,Capital Goods,3534.596,Final Figures
700,Trade Balance of Goods of Mexico,National,Not applicable,2015,3,Total Trade Balance Exports Total - Imports Total,511.251,Final Figures
701,Trade Balance of Goods of Mexico,National,Not applicable,2015,3,Total Trade Balance Exports Total - Imports Total CIF,-329.833399999999,Final Figures
702,Trade Balance of Goods of Mexico,National,Exports,2015,4,Total Exports,32971.49,Final Figures
703,Trade Balance of Goods of Mexico,National,Exports,2015,4,Petroleum,1898.428,Final Figures
704,Trade Balance of Goods of Mexico,National,Exports,2015,4,Crude Oil,1573.679,Final Figures
705,Trade Balance of Goods of Mexico,National,Exports,2015,4,Other Oil,324.749,Final Figures
706,Trade Balance of Goods of Mexico,National,Exports,2015,4,Non Petroleum,31073.061,Final Figures
707,Trade Balance of Goods of Mexico,National,Exports,2015,4,Agrarian,1273.778,Final Figures
708,Trade Balance of Goods of Mexico,National,Exports,2015,4,Extractive,326.852,Final Figures
709,Trade Balance of Goods of Mexico,National,Exports,2015,4,Manufacturing,29472.43,Final Figures
710,Trade Balance of Goods of Mexico,National,Imports,2015,4,Total Imports,33041.33,Final Figures
711,Trade Balance of Goods of Mexico,National,Imports,2015,4,Freight and insurance of imports,848.3106,Final Figures
712,Trade Balance of Goods of Mexico,National,Imports,2015,4,Total Imports CIF (Total Imports + Freight and Insurance of Imports),33889.6406,Final Figures
713,Trade Balance of Goods of Mexico,National,Imports,2015,4,Petroleum,2692.932,Final Figures
714,Trade Balance of Goods of Mexico,National,Imports,2015,4,Non Petroleum,30348.398,Final Figures
715,Trade Balance of Goods of Mexico,National,Imports,2015,4,Consumer Goods,4358.622,Final Figures
716,Trade Balance of Goods of Mexico,National,Imports,2015,4,Intermediate Goods,25413.334,Final Figures
717,Trade Balance of Goods of Mexico,National,Imports,2015,4,Capital Goods,3269.375,Final Figures
718,Trade Balance of Goods of Mexico,National,Not applicable,2015,4,Total Trade Balance Exports Total - Imports Total,-69.84,Final Figures
719,Trade Balance of Goods of Mexico,National,Not applicable,2015,4,Total Trade Balance Exports Total - Imports Total CIF,-918.150600000001,Final Figures
720,Trade Balance of Goods of Mexico,National,Exports,2015,5,Total Exports,31244.705,Final Figures
721,Trade Balance of Goods of Mexico,National,Exports,2015,5,Petroleum,2348.989,Final Figures
722,Trade Balance of Goods of Mexico,National,Exports,2015,5,Crude Oil,1866.7,Final Figures
723,Trade Balance of Goods of Mexico,National,Exports,2015,5,Other Oil,482.289,Final Figures
724,Trade Balance of Goods of Mexico,National,Exports,2015,5,Non Petroleum,28895.716,Final Figures
725,Trade Balance of Goods of Mexico,National,Exports,2015,5,Agrarian,1158.039,Final Figures
726,Trade Balance of Goods of Mexico,National,Exports,2015,5,Extractive,273.114,Final Figures
727,Trade Balance of Goods of Mexico,National,Exports,2015,5,Manufacturing,27464.562,Final Figures
728,Trade Balance of Goods of Mexico,National,Imports,2015,5,Total Imports,32359.172,Final Figures
729,Trade Balance of Goods of Mexico,National,Imports,2015,5,Freight and insurance of imports,825.4115,Final Figures
730,Trade Balance of Goods of Mexico,National,Imports,2015,5,Total Imports CIF (Total Imports + Freight and Insurance of Imports),33184.5835,Final Figures
731,Trade Balance of Goods of Mexico,National,Imports,2015,5,Petroleum,2407.77,Final Figures
732,Trade Balance of Goods of Mexico,National,Imports,2015,5,Non Petroleum,29951.402,Final Figures
733,Trade Balance of Goods of Mexico,National,Imports,2015,5,Consumer Goods,4341.509,Final Figures
734,Trade Balance of Goods of Mexico,National,Imports,2015,5,Intermediate Goods,24753.203,Final Figures
735,Trade Balance of Goods of Mexico,National,Imports,2015,5,Capital Goods,3264.46,Final Figures
736,Trade Balance of Goods of Mexico,National,Not applicable,2015,5,Total Trade Balance Exports Total - Imports Total,-1114.467,Final Figures
737,Trade Balance of Goods of Mexico,National,Not applicable,2015,5,Total Trade Balance Exports Total - Imports Total CIF,-1939.8785,Final Figures
738,Trade Balance of Goods of Mexico,National,Exports,2015,6,Total Exports,33761.831,Final Figures
739,Trade Balance of Goods of Mexico,National,Exports,2015,6,Petroleum,2230.509,Final Figures
740,Trade Balance of Goods of Mexico,National,Exports,2015,6,Crude Oil,1692.641,Final Figures
741,Trade Balance of Goods of Mexico,National,Exports,2015,6,Other Oil,537.868,Final Figures
742,Trade Balance of Goods of Mexico,National,Exports,2015,6,Non Petroleum,31531.322,Final Figures
743,Trade Balance of Goods of Mexico,National,Exports,2015,6,Agrarian,1087.142,Final Figures
744,Trade Balance of Goods of Mexico,National,Exports,2015,6,Extractive,644.865,Final Figures
745,Trade Balance of Goods of Mexico,National,Exports,2015,6,Manufacturing,29799.315,Final Figures
746,Trade Balance of Goods of Mexico,National,Imports,2015,6,Total Imports,34590.363,Final Figures
747,Trade Balance of Goods of Mexico,National,Imports,2015,6,Freight and insurance of imports,881.755,Final Figures
748,Trade Balance of Goods of Mexico,National,Imports,2015,6,Total Imports CIF (Total Imports + Freight and Insurance of Imports),35472.118,Final Figures
749,Trade Balance of Goods of Mexico,National,Imports,2015,6,Petroleum,2885.991,Final Figures
750,Trade Balance of Goods of Mexico,National,Imports,2015,6,Non Petroleum,31704.371,Final Figures
751,Trade Balance of Goods of Mexico,National,Imports,2015,6,Consumer Goods,4754.976,Final Figures
752,Trade Balance of Goods of Mexico,National,Imports,2015,6,Intermediate Goods,26096.339,Final Figures
753,Trade Balance of Goods of Mexico,National,Imports,2015,6,Capital Goods,3739.048,Final Figures
754,Trade Balance of Goods of Mexico,National,Not applicable,2015,6,Total Trade Balance Exports Total - Imports Total,-828.532,Final Figures
755,Trade Balance of Goods of Mexico,National,Not applicable,2015,6,Total Trade Balance Exports Total - Imports Total CIF,-1710.287,Final Figures
756,Trade Balance of Goods of Mexico,National,Exports,2015,7,Total Exports,32694.944,Final Figures
757,Trade Balance of Goods of Mexico,National,Exports,2015,7,Petroleum,2059.437,Final Figures
758,Trade Balance of Goods of Mexico,National,Exports,2015,7,Crude Oil,1712.47,Final Figures
759,Trade Balance of Goods of Mexico,National,Exports,2015,7,Other Oil,346.967,Final Figures
760,Trade Balance of Goods of Mexico,National,Exports,2015,7,Non Petroleum,30635.507,Final Figures
761,Trade Balance of Goods of Mexico,National,Exports,2015,7,Agrarian,870.72,Final Figures
762,Trade Balance of Goods of Mexico,National,Exports,2015,7,Extractive,233.401,Final Figures
763,Trade Balance of Goods of Mexico,National,Exports,2015,7,Manufacturing,29531.387,Final Figures
764,Trade Balance of Goods of Mexico,National,Imports,2015,7,Total Imports,35073.02,Final Figures
765,Trade Balance of Goods of Mexico,National,Imports,2015,7,Freight and insurance of imports,892.8151,Final Figures
766,Trade Balance of Goods of Mexico,National,Imports,2015,7,Total Imports CIF (Total Imports + Freight and Insurance of Imports),35965.8351,Final Figures
767,Trade Balance of Goods of Mexico,National,Imports,2015,7,Petroleum,3203.212,Final Figures
768,Trade Balance of Goods of Mexico,National,Imports,2015,7,Non Petroleum,31869.807,Final Figures
769,Trade Balance of Goods of Mexico,National,Imports,2015,7,Consumer Goods,4771.862,Final Figures
770,Trade Balance of Goods of Mexico,National,Imports,2015,7,Intermediate Goods,26638.966,Final Figures
771,Trade Balance of Goods of Mexico,National,Imports,2015,7,Capital Goods,3662.192,Final Figures
772,Trade Balance of Goods of Mexico,National,Not applicable,2015,7,Total Trade Balance Exports Total - Imports Total,-2378.076,Final Figures
773,Trade Balance of Goods of Mexico,National,Not applicable,2015,7,Total Trade Balance Exports Total - Imports Total CIF,-3270.8911,Final Figures
774,Trade Balance of Goods of Mexico,National,Exports,2015,8,Total Exports,31009.789,Final Figures
775,Trade Balance of Goods of Mexico,National,Exports,2015,8,Petroleum,1908.181,Final Figures
776,Trade Balance of Goods of Mexico,National,Exports,2015,8,Crude Oil,1552.309,Final Figures
777,Trade Balance of Goods of Mexico,National,Exports,2015,8,Other Oil,355.872,Final Figures
778,Trade Balance of Goods of Mexico,National,Exports,2015,8,Non Petroleum,29101.607,Final Figures
779,Trade Balance of Goods of Mexico,National,Exports,2015,8,Agrarian,756.433,Final Figures
780,Trade Balance of Goods of Mexico,National,Exports,2015,8,Extractive,343.482,Final Figures
781,Trade Balance of Goods of Mexico,National,Exports,2015,8,Manufacturing,28001.693,Final Figures
782,Trade Balance of Goods of Mexico,National,Imports,2015,8,Total Imports,33831.912,Final Figures
783,Trade Balance of Goods of Mexico,National,Imports,2015,8,Freight and insurance of imports,863.0005,Final Figures
784,Trade Balance of Goods of Mexico,National,Imports,2015,8,Total Imports CIF (Total Imports + Freight and Insurance of Imports),34694.9125,Final Figures
785,Trade Balance of Goods of Mexico,National,Imports,2015,8,Petroleum,3736.247,Final Figures
786,Trade Balance of Goods of Mexico,National,Imports,2015,8,Non Petroleum,30095.665,Final Figures
787,Trade Balance of Goods of Mexico,National,Imports,2015,8,Consumer Goods,5485.23,Final Figures
788,Trade Balance of Goods of Mexico,National,Imports,2015,8,Intermediate Goods,24954.458,Final Figures
789,Trade Balance of Goods of Mexico,National,Imports,2015,8,Capital Goods,3392.224,Final Figures
790,Trade Balance of Goods of Mexico,National,Not applicable,2015,8,Total Trade Balance Exports Total - Imports Total,-2822.123,Final Figures
791,Trade Balance of Goods of Mexico,National,Not applicable,2015,8,Total Trade Balance Exports Total - Imports Total CIF,-3685.1235,Final Figures
792,Trade Balance of Goods of Mexico,National,Exports,2015,9,Total Exports,32187.182,Final Figures
793,Trade Balance of Goods of Mexico,National,Exports,2015,9,Petroleum,1790.287,Final Figures
794,Trade Balance of Goods of Mexico,National,Exports,2015,9,Crude Oil,1329.931,Final Figures
795,Trade Balance of Goods of Mexico,National,Exports,2015,9,Other Oil,460.356,Final Figures
796,Trade Balance of Goods of Mexico,National,Exports,2015,9,Non Petroleum,30396.895,Final Figures
797,Trade Balance of Goods of Mexico,National,Exports,2015,9,Agrarian,822.591,Final Figures
798,Trade Balance of Goods of Mexico,National,Exports,2015,9,Extractive,451.15,Final Figures
799,Trade Balance of Goods of Mexico,National,Exports,2015,9,Manufacturing,29123.153,Final Figures
800,Trade Balance of Goods of Mexico,National,Imports,2015,9,Total Imports,33663.061,Final Figures
801,Trade Balance of Goods of Mexico,National,Imports,2015,9,Freight and insurance of imports,870.5076,Final Figures
802,Trade Balance of Goods of Mexico,National,Imports,2015,9,Total Imports CIF (Total Imports + Freight and Insurance of Imports),34533.5686,Final Figures
803,Trade Balance of Goods of Mexico,National,Imports,2015,9,Petroleum,2653.241,Final Figures
804,Trade Balance of Goods of Mexico,National,Imports,2015,9,Non Petroleum,31009.821,Final Figures
805,Trade Balance of Goods of Mexico,National,Imports,2015,9,Consumer Goods,4906.639,Final Figures
806,Trade Balance of Goods of Mexico,National,Imports,2015,9,Intermediate Goods,25192.933,Final Figures
807,Trade Balance of Goods of Mexico,National,Imports,2015,9,Capital Goods,3563.489,Final Figures
808,Trade Balance of Goods of Mexico,National,Not applicable,2015,9,Total Trade Balance Exports Total - Imports Total,-1475.879,Final Figures
809,Trade Balance of Goods of Mexico,National,Not applicable,2015,9,Total Trade Balance Exports Total - Imports Total CIF,-2346.3866,Final Figures
810,Trade Balance of Goods of Mexico,National,Exports,2015,10,Total Exports,34100.594,Final Figures
811,Trade Balance of Goods of Mexico,National,Exports,2015,10,Petroleum,1827.034,Final Figures
812,Trade Balance of Goods of Mexico,National,Exports,2015,10,Crude Oil,1486.082,Final Figures
813,Trade Balance of Goods of Mexico,National,Exports,2015,10,Other Oil,340.952,Final Figures
814,Trade Balance of Goods of Mexico,National,Exports,2015,10,Non Petroleum,32273.56,Final Figures
815,Trade Balance of Goods of Mexico,National,Exports,2015,10,Agrarian,993.05,Final Figures
816,Trade Balance of Goods of Mexico,National,Exports,2015,10,Extractive,275.685,Final Figures
817,Trade Balance of Goods of Mexico,National,Exports,2015,10,Manufacturing,31004.825,Final Figures
818,Trade Balance of Goods of Mexico,National,Imports,2015,10,Total Imports,35600.923,Final Figures
819,Trade Balance of Goods of Mexico,National,Imports,2015,10,Freight and insurance of imports,895.6531,Final Figures
820,Trade Balance of Goods of Mexico,National,Imports,2015,10,Total Imports CIF (Total Imports + Freight and Insurance of Imports),36496.5761,Final Figures
821,Trade Balance of Goods of Mexico,National,Imports,2015,10,Petroleum,2610.65,Final Figures
822,Trade Balance of Goods of Mexico,National,Imports,2015,10,Non Petroleum,32990.273,Final Figures
823,Trade Balance of Goods of Mexico,National,Imports,2015,10,Consumer Goods,5228.503,Final Figures
824,Trade Balance of Goods of Mexico,National,Imports,2015,10,Intermediate Goods,26622.04,Final Figures
825,Trade Balance of Goods of Mexico,National,Imports,2015,10,Capital Goods,3750.38,Final Figures
826,Trade Balance of Goods of Mexico,National,Not applicable,2015,10,Total Trade Balance Exports Total - Imports Total,-1500.329,Final Figures
827,Trade Balance of Goods of Mexico,National,Not applicable,2015,10,Total Trade Balance Exports Total - Imports Total CIF,-2395.9821,Final Figures
828,Trade Balance of Goods of Mexico,National,Exports,2015,11,Total Exports,30981.322,Final Figures
829,Trade Balance of Goods of Mexico,National,Exports,2015,11,Petroleum,1521.593,Final Figures
830,Trade Balance of Goods of Mexico,National,Exports,2015,11,Crude Oil,1211.744,Final Figures
831,Trade Balance of Goods of Mexico,National,Exports,2015,11,Other Oil,309.849,Final Figures
832,Trade Balance of Goods of Mexico,National,Exports,2015,11,Non Petroleum,29459.729,Final Figures
833,Trade Balance of Goods of Mexico,National,Exports,2015,11,Agrarian,1133.743,Final Figures
834,Trade Balance of Goods of Mexico,National,Exports,2015,11,Extractive,368.27,Final Figures
835,Trade Balance of Goods of Mexico,National,Exports,2015,11,Manufacturing,27957.717,Final Figures
836,Trade Balance of Goods of Mexico,National,Imports,2015,11,Total Imports,32595.256,Final Figures
837,Trade Balance of Goods of Mexico,National,Imports,2015,11,Freight and insurance of imports,795.8844,Final Figures
838,Trade Balance of Goods of Mexico,National,Imports,2015,11,Total Imports CIF (Total Imports + Freight and Insurance of Imports),33391.1404,Final Figures
839,Trade Balance of Goods of Mexico,National,Imports,2015,11,Petroleum,2315.646,Final Figures
840,Trade Balance of Goods of Mexico,National,Imports,2015,11,Non Petroleum,30279.61,Final Figures
841,Trade Balance of Goods of Mexico,National,Imports,2015,11,Consumer Goods,4929.28,Final Figures
842,Trade Balance of Goods of Mexico,National,Imports,2015,11,Intermediate Goods,24207.021,Final Figures
843,Trade Balance of Goods of Mexico,National,Imports,2015,11,Capital Goods,3458.955,Final Figures
844,Trade Balance of Goods of Mexico,National,Not applicable,2015,11,Total Trade Balance Exports Total - Imports Total,-1613.934,Final Figures
