,prod_est,coverage,type,year,month,concept,value_usd,status
64,Trade Balance of Goods of Mexico,National,Imports,2012,4,Total Imports CIF (Total Imports + Freight and Insurance of Imports),31267.04,Final Figures
65,Trade Balance of Goods of Mexico,National,Imports,2012,4,Petroleum,3621.674,Final Figures
66,Trade Balance of Goods of Mexico,National,Imports,2012,4,Non Petroleum,26860.067,Final Figures
67,Trade Balance of Goods of Mexico,National,Imports,2012,4,Consumer Goods,4651.403,Final Figures
68,Trade Balance of Goods of Mexico,National,Imports,2012,4,Intermediate Goods,22797.349,Final Figures
69,Trade Balance of Goods of Mexico,National,Imports,2012,4,Capital Goods,3032.989,Final Figures
70,Trade Balance of Goods of Mexico,National,Not applicable,2012,4,Total Trade Balance Exports Total - Imports Total,418.68,Final Figures
71,Trade Balance of Goods of Mexico,National,Not applicable,2012,4,Total Trade Balance Exports Total - Imports Total CIF,-366.619,Final Figures
72,Trade Balance of Goods of Mexico,National,Exports,2012,5,Total Exports,33135.477,Final Figures
73,Trade Balance of Goods of Mexico,National,Exports,2012,5,Petroleum,4334.593,Final Figures
74,Trade Balance of Goods of Mexico,National,Exports,2012,5,Crude Oil,3797.02,Final Figures
75,Trade Balance of Goods of Mexico,National,Exports,2012,5,Other Oil,537.573,Final Figures
76,Trade Balance of Goods of Mexico,National,Exports,2012,5,Non Petroleum,28800.884,Final Figures
77,Trade Balance of Goods of Mexico,National,Exports,2012,5,Agrarian,1201.81,Final Figures
78,Trade Balance of Goods of Mexico,National,Exports,2012,5,Extractive,455.855,Final Figures
79,Trade Balance of Goods of Mexico,National,Exports,2012,5,Manufacturing,27143.219,Final Figures
80,Trade Balance of Goods of Mexico,National,Imports,2012,5,Total Imports,32801.858,Final Figures
81,Trade Balance of Goods of Mexico,National,Imports,2012,5,Freight and insurance of imports,866.001,Final Figures
82,Trade Balance of Goods of Mexico,National,Imports,2012,5,Total Imports CIF (Total Imports + Freight and Insurance of Imports),33667.859,Final Figures
83,Trade Balance of Goods of Mexico,National,Imports,2012,5,Petroleum,3872.423,Final Figures
84,Trade Balance of Goods of Mexico,National,Imports,2012,5,Non Petroleum,28929.435,Final Figures
85,Trade Balance of Goods of Mexico,National,Imports,2012,5,Consumer Goods,4667.294,Final Figures
86,Trade Balance of Goods of Mexico,National,Imports,2012,5,Intermediate Goods,24939.409,Final Figures
87,Trade Balance of Goods of Mexico,National,Imports,2012,5,Capital Goods,3195.155,Final Figures
88,Trade Balance of Goods of Mexico,National,Not applicable,2012,5,Total Trade Balance Exports Total - Imports Total,333.619,Final Figures
89,Trade Balance of Goods of Mexico,National,Not applicable,2012,5,Total Trade Balance Exports Total - Imports Total CIF,-532.382,Final Figures
90,Trade Balance of Goods of Mexico,National,Exports,2012,6,Total Exports,30272.703,Final Figures
91,Trade Balance of Goods of Mexico,National,Exports,2012,6,Petroleum,3682.722,Final Figures
92,Trade Balance of Goods of Mexico,National,Exports,2012,6,Crude Oil,3291.727,Final Figures
93,Trade Balance of Goods of Mexico,National,Exports,2012,6,Other Oil,390.995,Final Figures
94,Trade Balance of Goods of Mexico,National,Exports,2012,6,Non Petroleum,26589.981,Final Figures
95,Trade Balance of Goods of Mexico,National,Exports,2012,6,Agrarian,898.059,Final Figures
96,Trade Balance of Goods of Mexico,National,Exports,2012,6,Extractive,427.866,Final Figures
97,Trade Balance of Goods of Mexico,National,Exports,2012,6,Manufacturing,25264.056,Final Figures
98,Trade Balance of Goods of Mexico,National,Imports,2012,6,Total Imports,29657.623,Final Figures
99,Trade Balance of Goods of Mexico,National,Imports,2012,6,Freight and insurance of imports,781.748,Final Figures
100,Trade Balance of Goods of Mexico,National,Imports,2012,6,Total Imports CIF (Total Imports + Freight and Insurance of Imports),30439.371,Final Figures
101,Trade Balance of Goods of Mexico,National,Imports,2012,6,Petroleum,3033.783,Final Figures
102,Trade Balance of Goods of Mexico,National,Imports,2012,6,Non Petroleum,26623.84,Final Figures
103,Trade Balance of Goods of Mexico,National,Imports,2012,6,Consumer Goods,3991.706,Final Figures
104,Trade Balance of Goods of Mexico,National,Imports,2012,6,Intermediate Goods,22560.0,Final Figures
105,Trade Balance of Goods of Mexico,National,Imports,2012,6,Capital Goods,3105.916,Final Figures
106,Trade Balance of Goods of Mexico,National,Not applicable,2012,6,Total Trade Balance Exports Total - Imports Total,615.08,Final Figures
107,Trade Balance of Goods of Mexico,National,Not applicable,2012,6,Total Trade Balance Exports Total - Imports Total CIF,-166.668,Final Figures
108,Trade Balance of Goods of Mexico,National,Exports,2012,7,Total Exports,30294.406,Final Figures
109,Trade Balance of Goods of Mexico,National,Exports,2012,7,Petroleum,3787.515,Final Figures
110,Trade Balance of Goods of Mexico,National,Exports,2012,7,Crude Oil,3318.387,Final Figures
111,Trade Balance of Goods of Mexico,National,Exports,2012,7,Other Oil,469.128,Final Figures
112,Trade Balance of Goods of Mexico,National,Exports,2012,7,Non Petroleum,26506.891,Final Figures
113,Trade Balance of Goods of Mexico,National,Exports,2012,7,Agrarian,733.284,Final Figures
114,Trade Balance of Goods of Mexico,National,Exports,2012,7,Extractive,287.704,Final Figures
115,Trade Balance of Goods of Mexico,National,Exports,2012,7,Manufacturing,25485.903,Final Figures
116,Trade Balance of Goods of Mexico,National,Imports,2012,7,Total Imports,30704.05,Final Figures
117,Trade Balance of Goods of Mexico,National,Imports,2012,7,Freight and insurance of imports,814.403,Final Figures
118,Trade Balance of Goods of Mexico,National,Imports,2012,7,Total Imports CIF (Total Imports + Freight and Insurance of Imports),31518.453,Final Figures
119,Trade Balance of Goods of Mexico,National,Imports,2012,7,Petroleum,3209.456,Final Figures
120,Trade Balance of Goods of Mexico,National,Imports,2012,7,Non Petroleum,27494.594,Final Figures
121,Trade Balance of Goods of Mexico,National,Imports,2012,7,Consumer Goods,4177.291,Final Figures
122,Trade Balance of Goods of Mexico,National,Imports,2012,7,Intermediate Goods,23390.967,Final Figures
123,Trade Balance of Goods of Mexico,National,Imports,2012,7,Capital Goods,3135.792,Final Figures
124,Trade Balance of Goods of Mexico,National,Not applicable,2012,7,Total Trade Balance Exports Total - Imports Total,-409.644,Final Figures
125,Trade Balance of Goods of Mexico,National,Not applicable,2012,7,Total Trade Balance Exports Total - Imports Total CIF,-1224.047,Final Figures
126,Trade Balance of Goods of Mexico,National,Exports,2012,8,Total Exports,31660.136,Final Figures
127,Trade Balance of Goods of Mexico,National,Exports,2012,8,Petroleum,4809.888,Final Figures
128,Trade Balance of Goods of Mexico,National,Exports,2012,8,Crude Oil,4238.029,Final Figures
129,Trade Balance of Goods of Mexico,National,Exports,2012,8,Other Oil,571.859,Final Figures
130,Trade Balance of Goods of Mexico,National,Exports,2012,8,Non Petroleum,26850.248,Final Figures
131,Trade Balance of Goods of Mexico,National,Exports,2012,8,Agrarian,570.652,Final Figures
132,Trade Balance of Goods of Mexico,National,Exports,2012,8,Extractive,441.836,Final Figures
133,Trade Balance of Goods of Mexico,National,Exports,2012,8,Manufacturing,25837.76,Final Figures
134,Trade Balance of Goods of Mexico,National,Imports,2012,8,Total Imports,32641.949,Final Figures
135,Trade Balance of Goods of Mexico,National,Imports,2012,8,Freight and insurance of imports,862.33,Final Figures
136,Trade Balance of Goods of Mexico,National,Imports,2012,8,Total Imports CIF (Total Imports + Freight and Insurance of Imports),33504.279,Final Figures
137,Trade Balance of Goods of Mexico,National,Imports,2012,8,Petroleum,3591.494,Final Figures
138,Trade Balance of Goods of Mexico,National,Imports,2012,8,Non Petroleum,29050.455,Final Figures
139,Trade Balance of Goods of Mexico,National,Imports,2012,8,Consumer Goods,4781.706,Final Figures
140,Trade Balance of Goods of Mexico,National,Imports,2012,8,Intermediate Goods,24463.475,Final Figures
141,Trade Balance of Goods of Mexico,National,Imports,2012,8,Capital Goods,3396.768,Final Figures
142,Trade Balance of Goods of Mexico,National,Not applicable,2012,8,Total Trade Balance Exports Total - Imports Total,-981.812999,Final Figures
143,Trade Balance of Goods of Mexico,National,Not applicable,2012,8,Total Trade Balance Exports Total - Imports Total CIF,-1844.143,Final Figures
144,Trade Balance of Goods of Mexico,National,Exports,2012,9,Total Exports,29279.642,Final Figures
145,Trade Balance of Goods of Mexico,National,Exports,2012,9,Petroleum,4573.095,Final Figures
146,Trade Balance of Goods of Mexico,National,Exports,2012,9,Crude Oil,4100.606,Final Figures
147,Trade Balance of Goods of Mexico,National,Exports,2012,9,Other Oil,472.489,Final Figures
148,Trade Balance of Goods of Mexico,National,Exports,2012,9,Non Petroleum,24706.547,Final Figures
149,Trade Balance of Goods of Mexico,National,Exports,2012,9,Agrarian,568.269,Final Figures
150,Trade Balance of Goods of Mexico,National,Exports,2012,9,Extractive,551.092,Final Figures
151,Trade Balance of Goods of Mexico,National,Exports,2012,9,Manufacturing,23587.186,Final Figures
152,Trade Balance of Goods of Mexico,National,Imports,2012,9,Total Imports,29069.597,Final Figures
153,Trade Balance of Goods of Mexico,National,Imports,2012,9,Freight and insurance of imports,765.408,Final Figures
154,Trade Balance of Goods of Mexico,National,Imports,2012,9,Total Imports CIF (Total Imports + Freight and Insurance of Imports),29835.005,Final Figures
155,Trade Balance of Goods of Mexico,National,Imports,2012,9,Petroleum,2986.736,Final Figures
156,Trade Balance of Goods of Mexico,National,Imports,2012,9,Non Petroleum,26082.861,Final Figures
157,Trade Balance of Goods of Mexico,National,Imports,2012,9,Consumer Goods,4264.023,Final Figures
158,Trade Balance of Goods of Mexico,National,Imports,2012,9,Intermediate Goods,21806.83,Final Figures
159,Trade Balance of Goods of Mexico,National,Imports,2012,9,Capital Goods,2998.744,Final Figures
160,Trade Balance of Goods of Mexico,National,Not applicable,2012,9,Total Trade Balance Exports Total - Imports Total,210.045,Final Figures
161,Trade Balance of Goods of Mexico,National,Not applicable,2012,9,Total Trade Balance Exports Total - Imports Total CIF,-555.363,Final Figures
162,Trade Balance of Goods of Mexico,National,Exports,2012,10,Total Exports,33939.839,Final Figures
163,Trade Balance of Goods of Mexico,National,Exports,2012,10,Petroleum,4641.024,Final Figures
164,Trade Balance of Goods of Mexico,National,Exports,2012,10,Crude Oil,4199.817,Final Figures
165,Trade Balance of Goods of Mexico,National,Exports,2012,10,Other Oil,441.207,Final Figures
166,Trade Balance of Goods of Mexico,National,Exports,2012,10,Non Petroleum,29298.815,Final Figures
167,Trade Balance of Goods of Mexico,National,Exports,2012,10,Agrarian,759.03,Final Figures
168,Trade Balance of Goods of Mexico,National,Exports,2012,10,Extractive,401.108,Final Figures
169,Trade Balance of Goods of Mexico,National,Exports,2012,10,Manufacturing,28138.677,Final Figures
170,Trade Balance of Goods of Mexico,National,Imports,2012,10,Total Imports,35564.836,Final Figures
171,Trade Balance of Goods of Mexico,National,Imports,2012,10,Freight and insurance of imports,930.182,Final Figures
172,Trade Balance of Goods of Mexico,National,Imports,2012,10,Total Imports CIF (Total Imports + Freight and Insurance of Imports),36495.017999,Final Figures
173,Trade Balance of Goods of Mexico,National,Imports,2012,10,Petroleum,4142.064,Final Figures
174,Trade Balance of Goods of Mexico,National,Imports,2012,10,Non Petroleum,31422.772,Final Figures
