prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Imports,2012,4,Non Petroleum,26860.067,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,4,Consumer Goods,4651.403,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,4,Intermediate Goods,22797.349,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,4,Capital Goods,3032.989,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,4,Total Trade Balance Exports Total - Imports Total,418.68,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,4,Total Trade Balance Exports Total - Imports Total CIF,-366.619,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,5,Total Exports,33135.477,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,5,Petroleum,4334.593,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,5,Crude Oil,3797.02,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,5,Other Oil,537.573,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,5,Non Petroleum,28800.884,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,5,Agrarian,1201.81,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,5,Extractive,455.855,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,5,Manufacturing,27143.219,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,5,Total Imports,32801.858,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,5,Freight and insurance of imports,866.001,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,5,Total Imports CIF (Total Imports + Freight and Insurance of Imports),33667.859,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,5,Petroleum,3872.423,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,5,Non Petroleum,28929.435,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,5,Consumer Goods,4667.294,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,5,Intermediate Goods,24939.409,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,5,Capital Goods,3195.155,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,5,Total Trade Balance Exports Total - Imports Total,333.619,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,5,Total Trade Balance Exports Total - Imports Total CIF,-532.382,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,6,Total Exports,30272.703,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,6,Petroleum,3682.722,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,6,Crude Oil,3291.727,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,6,Other Oil,390.995,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,6,Non Petroleum,26589.981,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,6,Agrarian,898.059,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,6,Extractive,427.866,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,6,Manufacturing,25264.056,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,6,Total Imports,29657.623,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,6,Freight and insurance of imports,781.748,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,6,Total Imports CIF (Total Imports + Freight and Insurance of Imports),30439.371,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,6,Petroleum,3033.783,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,6,Non Petroleum,26623.84,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,6,Consumer Goods,3991.706,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,6,Intermediate Goods,22560.0,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,6,Capital Goods,3105.916,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,6,Total Trade Balance Exports Total - Imports Total,615.08,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2012,6,Total Trade Balance Exports Total - Imports Total CIF,-166.668,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,7,Total Exports,30294.406,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,7,Petroleum,3787.515,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,7,Crude Oil,3318.387,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,7,Other Oil,469.128,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,7,Non Petroleum,26506.891,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,7,Agrarian,733.284,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,7,Extractive,287.704,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2012,7,Manufacturing,25485.903,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,7,Total Imports,30704.05,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,7,Freight and insurance of imports,814.403,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,7,Total Imports CIF (Total Imports + Freight and Insurance of Imports),31518.453,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,7,Petroleum,3209.456,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2012,7,Non Petroleum,27494.594,Final Figures
