prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Imports,2022,4,Non Petroleum,43215.23,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,4,Consumer Goods,6389.549,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,4,Intermediate Goods,39225.958,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,4,Capital Goods,3748.026,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,4,Total Trade Balance Exports Total - Imports Total,-1783.033,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,4,Total Trade Balance Exports Total - Imports Total CIF,-3538.1445,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,5,Total Exports,49964.769,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,5,Petroleum,3798.408,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,5,Crude Oil,3181.046,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,5,Other Oil,617.363,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,5,Non Petroleum,46166.361,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,5,Agrarian,2031.917,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,5,Extractive,783.368,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,5,Manufacturing,43351.076,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,5,Total Imports,52220.452,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,5,Freight and insurance of imports,1852.5361,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,5,Total Imports CIF (Total Imports + Freight and Insurance of Imports),54072.9881,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,5,Petroleum,6995.297,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,5,Non Petroleum,45225.155,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,5,Consumer Goods,6724.243,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,5,Intermediate Goods,41466.58,Final Figures
Trade Balance of Goods of Mexico,National,Imports,2022,5,Capital Goods,4029.629,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,5,Total Trade Balance Exports Total - Imports Total,-2255.683,Final Figures
Trade Balance of Goods of Mexico,National,Not applicable,2022,5,Total Trade Balance Exports Total - Imports Total CIF,-4108.2191,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,6,Total Exports,51220.139,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,6,Petroleum,4006.1,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,6,Crude Oil,3334.879,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,6,Other Oil,671.221,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,6,Non Petroleum,47214.039,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,6,Agrarian,1774.842,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,6,Extractive,638.609,Final Figures
Trade Balance of Goods of Mexico,National,Exports,2022,6,Manufacturing,44800.588,Final Figures
