prod_est,coverage,type,year,month,concept,value_usd,status
Trade Balance of Goods of Mexico,National,Exports,2021,1,Total Exports,32716.018,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,1,Petroleum,1824.723,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,1,Crude Oil,1589.219,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,1,Other Oil,235.505,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,1,Non Petroleum,30891.295,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,1,Agrarian,1548.423,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,1,Extractive,692.833,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,1,Manufacturing,28650.039,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,1,Total Imports,33910.702,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,1,Freight and insurance of imports,1069.2302,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,1,Total Imports CIF (Total Imports + Freight and Insurance of Imports),34979.9322,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,1,Petroleum,2968.3,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,1,Non Petroleum,30942.402,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,1,Consumer Goods,4085.132,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,1,Intermediate Goods,26875.015,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,1,Capital Goods,2950.555,Adjusted Figures
Trade Balance of Goods of Mexico,National,Not applicable,2021,1,Total Trade Balance Exports Total - Imports Total,-1194.684,Adjusted Figures
Trade Balance of Goods of Mexico,National,Not applicable,2021,1,Total Trade Balance Exports Total - Imports Total CIF,-2263.9142,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,2,Total Exports,36213.207,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,2,Petroleum,1859.159,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,2,Crude Oil,1614.942,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,2,Other Oil,244.217,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,2,Non Petroleum,34354.049,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,2,Agrarian,1805.473,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,2,Extractive,729.105,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,2,Manufacturing,31819.471,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,2,Total Imports,33486.199,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,2,Freight and insurance of imports,1094.6059,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,2,Total Imports CIF (Total Imports + Freight and Insurance of Imports),34580.8049,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,2,Petroleum,2929.342,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,2,Non Petroleum,30556.856,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,2,Consumer Goods,3874.634,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,2,Intermediate Goods,26724.004,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,2,Capital Goods,2887.56,Adjusted Figures
Trade Balance of Goods of Mexico,National,Not applicable,2021,2,Total Trade Balance Exports Total - Imports Total,2727.008,Adjusted Figures
Trade Balance of Goods of Mexico,National,Not applicable,2021,2,Total Trade Balance Exports Total - Imports Total CIF,1632.4021,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,3,Total Exports,43029.98,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,3,Petroleum,2136.162,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,3,Crude Oil,1720.336,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,3,Other Oil,415.825,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,3,Non Petroleum,40893.819,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,3,Agrarian,2211.224,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,3,Extractive,973.925,Adjusted Figures
Trade Balance of Goods of Mexico,National,Exports,2021,3,Manufacturing,37708.669,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,3,Total Imports,45974.454,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,3,Freight and insurance of imports,1679.7807,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,3,Total Imports CIF (Total Imports + Freight and Insurance of Imports),47654.2347,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,3,Petroleum,6582.338,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,3,Non Petroleum,39392.116,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,3,Consumer Goods,4911.595,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,3,Intermediate Goods,37497.244,Adjusted Figures
Trade Balance of Goods of Mexico,National,Imports,2021,3,Capital Goods,3565.615,Adjusted Figures
Trade Balance of Goods of Mexico,National,Not applicable,2021,3,Total Trade Balance Exports Total - Imports Total,-2944.474,Adjusted Figures
